name	type	units
Fp1	EEG	NaN
Fz	EEG	NaN
F3	EEG	NaN
F7	EEG	NaN
FC5	EEG	NaN
FC1	EEG	NaN
C3	EEG	NaN
T7	EEG	NaN
CP5	EEG	NaN
CP1	EEG	NaN
Pz	EEG	NaN
P3	EEG	NaN
P7	EEG	NaN
O1	EEG	NaN
Oz	EEG	NaN
O2	EEG	NaN
P4	EEG	NaN
P8	EEG	NaN
CP6	EEG	NaN
CP2	EEG	NaN
Cz	EEG	NaN
C4	EEG	NaN
T8	EEG	NaN
FC6	EEG	NaN
FC2	EEG	NaN
F4	EEG	NaN
F8	EEG	NaN
Fp2	EEG	NaN
AF7	EEG	NaN
AF3	EEG	NaN
AFz	EEG	NaN
F1	EEG	NaN
F5	EEG	NaN
FT7	EEG	NaN
FC3	EEG	NaN
FCz	EEG	NaN
C1	EEG	NaN
C5	EEG	NaN
TP7	EEG	NaN
CP3	EEG	NaN
P1	EEG	NaN
P5	EEG	NaN
PO7	EEG	NaN
PO3	EEG	NaN
POz	EEG	NaN
PO4	EEG	NaN
PO8	EEG	NaN
P6	EEG	NaN
CP4	EEG	NaN
TP8	EEG	NaN
C6	EEG	NaN
C2	EEG	NaN
FC4	EEG	NaN
FT8	EEG	NaN
F6	EEG	NaN
F2	EEG	NaN
AF4	EEG	NaN
AF8	EEG	NaN
